lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2
529460,SK_529460,Bratislava - mestská časť Petržalka,SK010,Bratislavský kraj,112794.0,3935.95620622,28.65733105
529320,SK_529320,Bratislava - mestská časť Ružinov,SK010,Bratislavský kraj,82483.0,2076.43155836,39.72343787
524140,SK_524140,Prešov,SK041,Prešovský kraj,82286.0,1168.209111,70.43773176
517402,SK_517402,Žilina,SK031,Žilinský kraj,80634.0,1007.44645072,80.03800097
500011,SK_500011,Nitra,SK023,Nitriansky kraj,76499.0,761.62276765,100.44211288
508438,SK_508438,Banská Bystrica,SK032,Banskobystrický kraj,74065.0,717.02148493,103.29537058
506745,SK_506745,Trnava,SK021,Trnavský kraj,62955.0,880.03640227,71.53681352
505820,SK_505820,Trenčín,SK022,Trenčiansky kraj,54065.0,659.21497167,82.0142174
512036,SK_512036,Martin,SK031,Žilinský kraj,50629.0,747.06527332,67.77051726
523381,SK_523381,Poprad,SK041,Prešovský kraj,48741.0,773.21805844,63.03655155
528595,SK_528595,Bratislava - mestská časť Staré Mesto,SK010,Bratislavský kraj,47375.0,4941.54281066,9.58708683
529346,SK_529346,Bratislava - mestská časť Nové Mesto,SK010,Bratislavský kraj,45342.0,1209.73693132,37.48087607
513881,SK_513881,Prievidza,SK022,Trenčiansky kraj,42980.0,998.23876656,43.05583137
518158,SK_518158,Zvolen,SK032,Banskobystrický kraj,39453.0,399.98426512,98.63638008
512842,SK_512842,Považská Bystrica,SK022,Trenčiansky kraj,37261.0,411.37745023,90.57618491
598224,SK_598224,Košice - mestská časť Západ,SK042,Košický kraj,36621.0,6643.79790671,5.51205809
503011,SK_503011,Nové Zámky,SK023,Nitriansky kraj,36410.0,501.74086358,72.56734032
522279,SK_522279,Michalovce,SK042,Košický kraj,35584.0,672.55337772,52.90881167
529389,SK_529389,Bratislava - mestská časť Dúbravka,SK010,Bratislavský kraj,35572.0,4113.41652376,8.64779917
529397,SK_529397,Bratislava - mestská časť Karlova Ves,SK010,Bratislavský kraj,34942.0,3174.20396548,11.00811428
526355,SK_526355,Spišská Nová Ves,SK042,Košický kraj,34544.0,520.11527682,66.41604571
501026,SK_501026,Komárno,SK023,Nitriansky kraj,32114.0,311.55852944,103.07533566
502031,SK_502031,Levice,SK023,Nitriansky kraj,30823.0,505.30279852,60.99906846
510262,SK_510262,Liptovský Mikuláš,SK031,Žilinský kraj,30040.0,428.15407598,70.16165835
520004,SK_520004,Humenné,SK041,Prešovský kraj,30006.0,1047.95206383,28.63298908
519006,SK_519006,Bardejov,SK041,Prešovský kraj,29964.0,414.24998074,72.33313553
507440,SK_507440,Piešťany,SK021,Trnavský kraj,26668.0,603.30061318,44.20350223
510998,SK_510998,Ružomberok,SK031,Žilinský kraj,26548.0,209.49574936,126.72333487
529354,SK_529354,Bratislava - mestská časť Rača,SK010,Bratislavský kraj,26214.0,1107.32649383,23.67323472
511218,SK_511218,Lučenec,SK032,Banskobystrický kraj,25018.0,523.1917234,47.81803473
508179,SK_508179,Pezinok,SK010,Bratislavský kraj,24506.0,337.00163282,72.71774856
598682,SK_598682,Košice - mestská časť Dargovských hrdinov,SK042,Košický kraj,24397.0,2201.47467022,11.08211706
504998,SK_504998,Topoľčany,SK023,Nitriansky kraj,24086.0,873.32049647,27.5797947
529311,SK_529311,Bratislava - mestská časť Podunajské Biskupice,SK010,Bratislavský kraj,23276.0,547.96694126,42.47701503
501433,SK_501433,Dunajská Streda,SK021,Trnavský kraj,22892.0,728.15871737,31.43820084
528099,SK_528099,Trebišov,SK042,Košický kraj,22812.0,325.20610136,70.1462854
509132,SK_509132,Čadca,SK031,Žilinský kraj,22580.0,397.69322697,56.77743162
599816,SK_599816,Košice - mestská časť Nad jazerom,SK042,Košický kraj,21998.0,6017.3989488,3.65573235
513016,SK_513016,Dubnica nad Váhom,SK022,Trenčiansky kraj,21805.0,443.56174028,49.15888369
599883,SK_599883,Košice - mestská časť Sídlisko KVP,SK042,Košický kraj,21675.0,12028.38051849,1.80198822
514462,SK_514462,Rimavská Sobota,SK032,Banskobystrický kraj,21341.0,275.32060144,77.51326958
599824,SK_599824,Košice - mestská časť Juh,SK042,Košický kraj,20724.0,2123.2528528,9.76049554
505315,SK_505315,Partizánske,SK022,Trenčiansky kraj,20607.0,924.47409531,22.29051101
544051,SK_544051,Vranov nad Topľou,SK041,Prešovský kraj,20488.0,596.06318664,34.37219486
504025,SK_504025,Šaľa,SK023,Nitriansky kraj,20239.0,450.19032967,44.95654097
529338,SK_529338,Bratislava - mestská časť Vrakuňa,SK010,Bratislavský kraj,20221.0,1964.59962853,10.29268239
508217,SK_508217,Senec,SK010,Bratislavský kraj,20192.0,522.0619128,38.67740493
598186,SK_598186,Košice - mestská časť Staré Mesto,SK042,Košický kraj,20137.0,4638.11437896,4.34163506
599875,SK_599875,Košice - mestská časť Sídlisko Ťahanovce,SK042,Košický kraj,20081.0,2431.23506298,8.25958802
508497,SK_508497,Brezno,SK032,Banskobystrický kraj,19790.0,162.23250224,121.98542047
507032,SK_507032,Hlohovec,SK021,Trnavský kraj,19774.0,307.97543778,64.206419
506338,SK_506338,Nové Mesto nad Váhom,SK022,Trenčiansky kraj,19296.0,591.95769733,32.59692388
504203,SK_504203,Senica,SK021,Trnavský kraj,19280.0,383.21089269,50.31172226
508063,SK_508063,Malacky,SK010,Bratislavský kraj,18804.0,699.13332468,26.89615748
598151,SK_598151,Košice - mestská časť Sever,SK042,Košický kraj,18424.0,337.44889422,54.59789709
520802,SK_520802,Snina,SK041,Prešovský kraj,18101.0,308.81191316,58.61496668
509540,SK_509540,Dolný Kubín,SK031,Žilinský kraj,17600.0,319.91836777,55.01403412
529371,SK_529371,Bratislava - mestská časť Devínska Nová Ves,SK010,Bratislavský kraj,17067.0,704.52452606,24.22484863
525529,SK_525529,Rožňava,SK042,Košický kraj,16932.0,371.98461398,45.51801167
513610,SK_513610,Púchov,SK022,Trenčiansky kraj,16922.0,409.92302572,41.2809209
516589,SK_516589,Žiar nad Hronom,SK032,Banskobystrický kraj,16879.0,431.75723981,39.09372778
542652,SK_542652,Bánovce nad Bebravou,SK022,Trenčiansky kraj,16359.0,615.66096065,26.5714428
526665,SK_526665,Stará Ľubovňa,SK041,Prešovský kraj,15628.0,507.63387094,30.78596779
513997,SK_513997,Handlová,SK022,Trenčiansky kraj,15608.0,182.37128667,85.58364798
504815,SK_504815,Skalica,SK021,Trnavský kraj,15461.0,257.83257379,59.96527038
503665,SK_503665,Galanta,SK021,Trnavský kraj,15339.0,452.35739705,33.90902879
523585,SK_523585,Kežmarok,SK041,Prešovský kraj,15238.0,614.80887565,24.78493822
504009,SK_504009,Sereď,SK021,Trnavský kraj,15166.0,497.90443167,30.4596606
509256,SK_509256,Kysucké Nové Mesto,SK031,Žilinský kraj,14380.0,544.29739479,26.41938054
543292,SK_543292,Levoča,SK041,Prešovský kraj,13944.0,121.517567,114.74884121
501905,SK_501905,Šamorín,SK021,Trnavský kraj,13635.0,307.5684323,44.33159768
518263,SK_518263,Detva,SK032,Banskobystrický kraj,13629.0,200.3037411,68.04166475
508233,SK_508233,Stupava,SK010,Bratislavský kraj,12803.0,189.78958992,67.45891598
525146,SK_525146,Sabinov,SK041,Prešovský kraj,12169.0,520.49159031,23.37982059
500968,SK_500968,Zlaté Moravce,SK023,Nitriansky kraj,11803.0,434.92337639,27.13811361
517461,SK_517461,Bytča,SK031,Žilinský kraj,11535.0,268.04696965,43.03350273
526142,SK_526142,Revúca,SK032,Banskobystrický kraj,10958.0,281.8882231,38.87356442
504378,SK_504378,Holíč,SK021,Trnavský kraj,10928.0,313.87542313,34.81636087
504581,SK_504581,Myjava,SK022,Trenčiansky kraj,10547.0,217.4047365,48.51320247
515850,SK_515850,Veľký Krtíš,SK032,Banskobystrický kraj,10457.0,696.4413455,15.01490408
501204,SK_501204,Kolárovo,SK023,Nitriansky kraj,10428.0,97.65908429,106.77962092
513440,SK_513440,Nová Dubnica,SK022,Trenčiansky kraj,10381.0,922.46574634,11.25353439
521698,SK_521698,Moldava nad Bodvou,SK042,Košický kraj,10254.0,518.95492584,19.75894146
507814,SK_507814,Bernolákovo,SK010,Bratislavský kraj,9896.0,348.23425849,28.41765208
527840,SK_527840,Stropkov,SK041,Prešovský kraj,9788.0,396.71368608,24.67270564
527106,SK_527106,Svidník,SK041,Prešovský kraj,9770.0,483.76820825,20.19562227
511391,SK_511391,Fiľakovo,SK032,Banskobystrický kraj,9683.0,598.37020209,16.18228977
503584,SK_503584,Štúrovo,SK023,Nitriansky kraj,9361.0,695.98563878,13.44999017
516643,SK_516643,Banská Štiavnica,SK032,Banskobystrický kraj,9339.0,199.79816889,46.74217012
503592,SK_503592,Šurany,SK023,Nitriansky kraj,9238.0,154.51182463,59.78830437
508101,SK_508101,Modra,SK010,Bratislavský kraj,9201.0,185.37498145,49.63452958
560154,SK_560154,Smižany,SK042,Košický kraj,8828.0,193.25366254,45.68089362
510114,SK_510114,Tvrdošín,SK031,Žilinský kraj,8760.0,154.77768921,56.59730446
