lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2,dist_capital_km,dist_bratislava_km,dist_uni_km,dist_airport_km,dist_motorway_km,dist_railway_km,urban_class,density_class,is_regional_capital,econ_proximity,econ_potential,edu_access_score,edu_infra_score,transport_score,connectivity_score,remoteness_index
522198,SK_522198,Vyšná Myšľa,SK042,Košický kraj,999.0,112.44184743,8.88459255,14.4,320.4,14.4,11.5,14.6,14.3,Small Village (<1K),Medium (100-500/km²),Yes,85.6,59.7,78.4,60.0,86.0,84.4,15.6
581607,SK_581607,Brehy,SK032,Banskobystrický kraj,997.0,80.63119177,12.36494188,51.9,119.1,40.5,43.3,9.4,30.3,Small Village (<1K),Sparse (<100/km²),No,48.1,100,39.2,60.0,78.0,61.3,38.7
529001,SK_529001,Poša,SK041,Prešovský kraj,996.0,117.93254711,8.44550571,42.5,351.5,39.9,42.8,39.8,39.1,Small Village (<1K),Medium (100-500/km²),No,57.5,36.4,40.2,60.0,59.9,55.2,44.8
515965,SK_515965,Dolná Strehová,SK032,Banskobystrický kraj,995.0,46.86712762,21.23023216,59.4,177.2,43.5,50.1,55.7,45.0,Small Village (<1K),Sparse (<100/km²),No,40.6,100,34.8,60.0,48.8,43.5,56.5
555720,SK_555720,Povoda,SK021,Trnavský kraj,994.0,165.38445133,6.01023852,45.7,44.2,43.4,38.8,41.4,43.4,Small Village (<1K),Medium (100-500/km²),No,54.3,100,34.9,60.0,58.4,52.5,47.5
523372,SK_523372,Žbince,SK042,Košický kraj,994.0,66.00209095,15.06012894,47.6,358.0,47.6,48.0,47.6,47.0,Small Village (<1K),Sparse (<100/km²),No,52.4,31.5,28.6,60.0,52.5,47.7,52.3
521574,SK_521574,Košická Belá,SK042,Košický kraj,994.0,25.20418288,39.43789826,15.2,303.4,15.2,19.5,6.9,15.3,Small Village (<1K),Sparse (<100/km²),No,84.8,72.4,77.2,60.0,88.2,85.0,15.0
526754,SK_526754,Chmeľnica,SK041,Prešovský kraj,992.0,78.47159464,12.64151703,49.1,294.7,49.1,43.1,45.3,38.5,Small Village (<1K),Sparse (<100/km²),No,50.9,78.9,26.3,59.9,57.3,49.2,50.8
519421,SK_519421,Kružlov,SK041,Prešovský kraj,991.0,98.41546845,10.06955528,35.1,321.9,35.1,69.7,60.8,35.3,Small Village (<1K),Sparse (<100/km²),No,64.9,58.5,47.3,59.9,46.2,52.0,48.0
559636,SK_559636,Sopkovce,SK041,Prešovský kraj,99.0,13.66564267,7.24444524,46.3,363.5,46.3,60.4,56.0,46.5,Small Village (<1K),Sparse (<100/km²),No,53.7,18.2,30.6,40.0,46.4,45.4,54.6
599310,SK_599310,Chorváty,SK042,Košický kraj,99.0,30.08920364,3.29021669,32.7,281.9,32.7,29.4,24.4,33.5,Small Village (<1K),Sparse (<100/km²),No,67.3,59.1,50.9,40.0,71.7,66.2,33.8
518352,SK_518352,Drienovo,SK032,Banskobystrický kraj,99.0,6.45653842,15.33329371,58.5,143.6,40.4,47.1,24.9,40.7,Small Village (<1K),Sparse (<100/km²),No,41.5,100,39.4,40.0,66.1,53.4,46.6
527629,SK_527629,Nižná Jedľová,SK041,Prešovský kraj,99.0,20.84067415,4.75032618,44.4,352.3,44.4,78.6,72.4,44.7,Small Village (<1K),Sparse (<100/km²),No,55.6,23.8,33.4,40.0,35.8,41.3,58.7
514853,SK_514853,Horné Zahorany,SK032,Banskobystrický kraj,99.0,18.90126078,5.23774584,68.6,216.5,63.0,66.0,55.2,64.8,Small Village (<1K),Sparse (<100/km²),No,31.4,91.8,5.5,40.0,39.8,30.4,69.6
519383,SK_519383,Kožany,SK041,Prešovský kraj,99.0,19.03839267,5.20001881,30.6,343.3,30.6,64.2,58.0,30.8,Small Village (<1K),Sparse (<100/km²),No,69.4,28.3,54.1,40.0,50.0,56.6,43.4
507814,SK_507814,Bernolákovo,SK010,Bratislavský kraj,9896.0,348.23425849,28.41765208,15.5,15.5,15.5,7.4,9.3,15.3,Town (5K-50K),Medium (100-500/km²),No,84.5,100,76.8,79.9,89.0,85.2,14.8
501557,SK_501557,Dolný Bar,SK021,Trnavský kraj,989.0,120.64905871,8.19732877,46.7,48.8,39.2,43.0,42.0,39.1,Small Village (<1K),Medium (100-500/km²),No,53.3,100,41.2,59.9,58.8,53.6,46.4
514756,SK_514756,Gemerská Ves,SK032,Banskobystrický kraj,987.0,55.7702826,17.69759725,87.4,237.3,76.1,65.8,50.6,55.3,Small Village (<1K),Sparse (<100/km²),No,12.6,100,0,59.9,45.3,26.4,73.6
500381,SK_500381,Jelšovce,SK023,Nitriansky kraj,986.0,94.43868486,10.44063671,8.6,75.5,8.6,32.1,15.2,8.8,Small Village (<1K),Sparse (<100/km²),No,91.4,100,87.1,59.9,84.1,86.9,13.1
500470,SK_500470,Lúčnica nad Žitavou,SK023,Nitriansky kraj,986.0,81.4584681,12.1043278,17.6,86.7,17.6,56.7,21.9,7.2,Small Village (<1K),Sparse (<100/km²),No,82.4,100,73.6,59.9,77.2,78.0,22.0
523887,SK_523887,Stará Lesná,SK041,Prešovský kraj,986.0,104.01535529,9.47936963,69.9,259.1,69.9,8.2,21.8,5.3,Small Village (<1K),Medium (100-500/km²),No,30.1,100,0,59.9,86.0,52.0,48.0
502391,SK_502391,Jur nad Hronom,SK023,Nitriansky kraj,985.0,64.83098524,15.19335232,44.5,112.5,44.5,68.1,17.8,28.1,Small Village (<1K),Sparse (<100/km²),No,55.5,100,33.2,59.9,70.4,58.5,41.5
